"School.Name","County","School.Code","School.ID","County.Number","FIPS.State.Code","ZIP","Address","City","State","Longitude","Latitude","Total.Students","Free.Lunch","Reduced.price.Lunch","Total.Free.and.Reduced.Lunch","Full.Time.Equivalent.Teachers","Pupil.Teacher.Ratio"
"ALLEGHANY HIGH","ALLEGHANY COUNTY","030304",3.70012e+11,37005,37,28675,"404 TROJAN AVE","SPARTA","NC ",-81.125,36.5095,461,203,47,250,35.67,12.92
"ALLEN JAY ELEMENTARY","GUILFORD COUNTY","410310",3.70192e+11,37081,37,27263,"1311 EAST SPRINGFIELD RD","HIGH POINT","NC ",-79.9556,35.932,416,377,35,412,33.6,12.38
"ALLEN JAY MIDDLE A PREPARATORY ACADEMY","GUILFORD COUNTY","410311",3.70192e+11,37081,37,27263,"1201 EAST FAIRFIELD RD","HIGH POINT","NC ",-79.9619,35.9254,102,53,14,67,7.5,13.6
"ALLEN MIDDLE","GUILFORD COUNTY","410316",3.70192e+11,37081,37,27406,"1108 GLENDALE DR","GREENSBORO","NC ",-79.8238,36.0107,703,565,58,623,48.98,14.35
"ALLENBROOK ELEMENTARY","MECKLENBURG COUNTY","600308",3.70297e+11,37119,37,28208,"1430 ALLENBROOK DR","CHARLOTTE","NC ",-80.9151,35.2619,482,430,29,459,29.84,16.15
"ALMA O EASOM ELEMENTARY","CUMBERLAND COUNTY","260302",3.70001e+11,37051,37,28305,"1610 WESTLAWN AVE","FAYETTEVILLE","NC ",-78.9085,35.0613,285,99,10,109,16.84,16.92
"ALPHA ACADEMY","CUMBERLAND COUNTY","26B000",3.7001e+11,37051,37,28305,"907 HAY ST","FAYETTEVILLE","NC ",-78.8956,35.0558,594,77,295,372,22.38,26.54
"ALSTON RIDGE ELEMENTARY","WAKE COUNTY","920307",3.70472e+11,37183,37,27519,"11555 GREEN LEVEL CHURCH RD","CARY","NC ",-78.8996,35.8591,974,54,14,68,56.35,17.28
"ALTAMAHAW OSSIPEE ELEM","ALAMANCE COUNTY","010308",3.70003e+11,37001,37,27244,"2832 NORTH NC 87","ELON","NC ",-79.5105,36.1796,542,203,23,226,34.25,15.82
"AMERICAN RENAISSANCE SCHOOL","IREDELL COUNTY","49B000",3.70009e+11,37097,37,28677,"132 EAST BROAD ST","STATESVILLE","NC ",-80.8866,35.7848,531,85,58,143,34.95,15.19
"ANDERSON CREEK CLUB CHARTER","HARNETT COUNTY","43C000",3.70038e+11,37085,37,28390,"TBD","TBD","NC ",-78.9767,35.2779,NA,NA,NA,NA,NA,NA
"ANDERSON CREEK PRIMARY","HARNETT COUNTY","430304",3.70201e+11,37085,37,28323,"914 ANDERSON CREEK SCH RD","BUNNLEVEL","NC ",-78.9172,35.2821,591,293,75,368,44.41,13.31
"ANDREWS ELEMENTARY","CHEROKEE COUNTY","200304",3.70078e+11,37039,37,28901,"205 JEAN CHRISTY AVE","ANDREWS","NC ",-83.8251,35.1983,339,229,25,254,23.66,14.33
"ANDREWS HIGH","CHEROKEE COUNTY","200308",3.70078e+11,37039,37,28901,"50 HIGH SCHOOL DR","ANDREWS","NC ",-83.8243,35.1952,262,112,35,147,16.31,16.06
"ANDREWS MIDDLE","CHEROKEE COUNTY","200310",3.70078e+11,37039,37,28901,"2750 BUSINESS HWY 19","ANDREWS","NC ",-83.7977,35.1949,208,118,24,142,14,14.86
"ANGIER ELEMENTARY","HARNETT COUNTY","430308",3.70201e+11,37085,37,27501,"130 EAST MCIVER ST","ANGIER","NC ",-78.736,35.5035,438,289,42,331,34.65,12.64
"ANNE CHESNUTT MIDDLE","CUMBERLAND COUNTY","260336",3.70001e+11,37051,37,28314,"2121 SKIBO RD","FAYETTEVILLE","NC ",-78.973,35.0508,592,338,58,396,40,14.8
"ANSON ACADEMY","ANSON COUNTY","040305",3.70018e+11,37007,37,28170,"514 NORTH WASHINGTON ST","WADESBORO","NC ",-80.0717,34.9705,59,50,2,52,6.37,9.26
"ANSON CO. EARLY COLLEGE HIGH","ANSON COUNTY","040304",3.70018e+11,37007,37,28135,"177 LEDBETTER ST","POLKTON","NC ",-80.2105,34.9997,175,83,12,95,9.21,19
"ANSON HIGH SCHOOL","ANSON COUNTY","040306",3.70018e+11,37007,37,28170,"96 ANSON HIGH SCHOOL RD","WADESBORO","NC ",-80.1031,34.9774,660,439,56,495,56.35,11.71
"ANSON MIDDLE","ANSON COUNTY","040309",3.70018e+11,37007,37,28170,"832 US HWY 52 NORTH","WADESBORO","NC ",-80.0882,34.9896,575,405,49,454,30.53,18.83
"ANSON NEW TECH HIGH","ANSON COUNTY","040700",3.70018e+11,37007,37,28170,"118 WEST ASHE ST","WADESBORO","NC ",-80.0782,34.9607,150,87,19,106,8.14,18.43
"ANSONVILLE ELEMENTARY","ANSON COUNTY","040308",3.70018e+11,37007,37,28007,"9104 HWY 52 NORTH","ANSONVILLE","NC ",-80.1064,35.1054,232,135,10,145,17.58,13.2
"ANTIOCH ELEMENTARY","UNION COUNTY","900302",3.70462e+11,37179,37,28104,"3101 ANTIOCH CHURCH RD","MATTHEWS","NC ",-80.7228,35.0588,839,84,9,93,46,18.24
"APEX ELEMENTARY","WAKE COUNTY","920308",3.70472e+11,37183,37,27502,"700 TINGEN RD","APEX","NC ",-78.857,35.721,678,181,40,221,43.2,15.69
"APEX HIGH","WAKE COUNTY","920316",3.70472e+11,37183,37,27502,"1501 LAURA DUNCAN RD","APEX","NC ",-78.8373,35.7453,2527,188,52,240,130.5,19.36
"APEX MIDDLE","WAKE COUNTY","920312",3.70472e+11,37183,37,27502,"400 EAST MOORE ST","APEX","NC ",-78.8484,35.726,1147,179,39,218,62.5,18.35
"APPLE VALLEY MIDDLE","HENDERSON COUNTY","450301",3.7021e+11,37089,37,28792,"43 FRUITLAND RD","HENDERSONVILLE","NC ",-82.4219,35.3619,860,490,79,569,57.12,15.06
"AQUADALE ELEMENTARY","STANLY COUNTY","840304",3.70432e+11,37167,37,28128,"11707 NC HWY 138","NORWOOD","NC ",-80.2238,35.2291,308,152,24,176,22.29,13.82
"ARAPAHOE CHARTER SCHOOL","PAMLICO COUNTY","69A000",3.70004e+11,37137,37,28510,"9005 NC HWY 306 SOUTH","ARAPAHOE","NC ",-76.8212,35.0123,425,195,49,244,27.35,15.54
"ARCHDALE-TRINITY MIDDLE","RANDOLPH COUNTY","760378",3.70378e+11,37151,37,27370,"5105 ARCHDALE RD","TRINITY","NC ",-79.9541,35.8861,868,319,81,400,52.95,16.39
"ARCHDALE ELEMENTARY","RANDOLPH COUNTY","760304",3.70378e+11,37151,37,27263,"207 TRINDALE RD","ARCHDALE","NC ",-79.9752,35.9128,373,205,26,231,26,14.35
"ARCHER ELEMENTARY","GUILFORD COUNTY","410322",3.70192e+11,37081,37,27407,"2610 FOUR SEASONS BLVD","GREENSBORO","NC ",-79.8305,36.0305,426,378,30,408,32.95,12.93
"ARCHER LODGE MIDDLE","JOHNSTON COUNTY","510364",3.70237e+11,37101,37,27591,"762 WENDELL RD","WENDELL","NC ",-78.3661,35.7032,1055,348,64,412,59.67,17.68
"ARDREY KELL HIGH","MECKLENBURG COUNTY","600302",3.70297e+11,37119,37,28277,"10220 ARDREY KELL RD","CHARLOTTE","NC ",-80.8267,35.03,2512,217,72,289,123.66,20.31
"ARISTOTLE PREPARATORY ACADEMY","MECKLENBURG COUNTY","60N000",3.70035e+11,37119,37,28208,"2461 ARTY AVE","CHARLOTTE","NC ",-80.8819,35.2246,107,81,3,84,8.36,12.8
"ARMSTRONG ELEMENTARY","CUMBERLAND COUNTY","260306",3.70001e+11,37051,37,28312,"3395 DUNN RD","EASTOVER","NC ",-78.7907,35.0913,397,245,29,274,32.51,12.21
"ARTHUR W EDWARDS ELEMENTARY","CRAVEN COUNTY","250380",3.70331e+11,37049,37,28532,"200 EDUCATION LN","HAVELOCK","NC ",-76.9281,34.9101,475,136,93,229,31.21,15.22
"ARTSPACE CHARTER SCHOOL","BUNCOMBE COUNTY","11B000",3.70012e+11,37021,37,28778,"2030 US HWY 70","SWANNANOA","NC ",-82.4287,35.5947,383,94,92,186,31.45,12.18
"ASBURY SCHOOL","LINCOLN COUNTY","550308",3.70268e+11,37109,37,28092,"221 SALEM CHURCH RD","LINCOLNTON","NC ",-81.2079,35.4782,29,19,4,23,6.25,4.64
"ASHBROOK HIGH","GASTON COUNTY","360310",3.70162e+11,37071,37,28054,"2222 SOUTH NEW HOPE RD","GASTONIA","NC ",-81.1272,35.2431,1456,769,101,870,83.9,17.35
"ASHE COUNTY HIGH","ASHE COUNTY","050302",3.70021e+11,37009,37,28694,"184 CAMPUS DR","WEST JEFFERSON","NC ",-81.478,36.3927,967,404,130,534,63.26,15.29
"ASHE COUNTY MIDDLE","ASHE COUNTY","050305",3.70021e+11,37009,37,28693,"255 NORTHWEST LN","WARRENSVILLE","NC ",-81.5101,36.4636,487,232,55,287,38.99,12.49
"ASHEBORO HIGH","RANDOLPH COUNTY","761304",3.70024e+11,37151,37,27203,"1221 SOUTH PARK ST","ASHEBORO","NC ",-79.8184,35.6893,1240,713,81,794,84.59,14.66
"ASHEVILLE HIGH","BUNCOMBE COUNTY","111302",3.70027e+11,37021,37,28803,"419 MCDOWELL ST","ASHEVILLE","NC ",-82.5531,35.5729,1047,386,54,440,90.05,11.63
"ASHEVILLE MIDDLE","BUNCOMBE COUNTY","111356",3.70027e+11,37021,37,28801,"197 SOUTH FRENCH BROAD AVE","ASHEVILLE","NC ",-82.5601,35.5868,752,351,37,388,64.69,11.62
"ASHLEY ELEMENTARY","CUMBERLAND COUNTY","260308",3.70001e+11,37051,37,28304,"810 TRAINER DR","FAYETTEVILLE","NC ",-78.9068,35.0382,242,121,17,138,18.5,13.08
"ASHLEY ELEMENTARY","FORSYTH COUNTY","340308",3.7015e+11,37067,37,27105,"1647 ASHLEY SCHOOL CIRCLE","WINSTON-SALEM","NC ",-80.2209,36.1175,497,436,13,449,43.35,11.46
"ASHLEY PARK PREK-8 SCHOOL","MECKLENBURG COUNTY","600311",3.70297e+11,37119,37,28208,"2401 BELFAST DR","CHARLOTTE","NC ",-80.8903,35.2326,576,521,16,537,40.48,14.23
"ATHENS DRIVE HIGH","WAKE COUNTY","920318",3.70472e+11,37183,37,27606,"1420 ATHENS DR","RALEIGH","NC ",-78.7113,35.7687,1934,572,74,646,120.61,16.04
"ATKINS ACADEMIC & TECH HIGH","FORSYTH COUNTY","340311",3.7015e+11,37067,37,27101,"3605 OLD GREENSBORO RD","WINSTON-SALEM","NC ",-80.1959,36.108,479,171,32,203,33.48,14.31
"ATKINSON ELEMENTARY","HENDERSON COUNTY","450302",3.7021e+11,37089,37,28739,"2510 OLD KANUGA RD","HENDERSONVILLE","NC ",-82.4927,35.284,400,143,37,180,24.4,16.39
"ATLANTIC ELEMENTARY","CARTERET COUNTY","160304",3.70063e+11,37031,37,28511,"151 SCHOOL DR","ATLANTIC","NC ",-76.3424,34.8831,91,52,4,56,13.58,6.7
"AULANDER ELEMENTARY","BERTIE COUNTY","080348",3.70036e+11,37015,37,27805,"2515 NC HWY 305 NORTH","AULANDER","NC ",-77.1061,36.2144,181,169,9,178,12.76,14.18
"AURELIAN SPRINGS ELEMENTARY","HALIFAX COUNTY","420304",3.70195e+11,37083,37,27850,"10536 HWY 48","LITTLETON","NC ",-77.8083,36.3639,350,324,23,347,20.98,16.68
"AVERSBORO ELEMENTARY","WAKE COUNTY","920320",3.70472e+11,37183,37,27529,"1605 AVERSBORO RD","GARNER","NC ",-78.6162,35.6888,542,242,53,295,46.83,11.57
"AVERY'S CREEK ELEMENTARY","BUNCOMBE COUNTY","110410",3.70045e+11,37021,37,28704,"15 PARK SOUTH BLVD","ARDEN","NC ",-82.5792,35.4776,661,365,52,417,41.21,16.04
"AVERY COUNTY HIGH","AVERY COUNTY","060302",3.7003e+11,37011,37,28657,"401 HIGH SCHOOL RD","NEWLAND","NC ",-81.9197,36.0676,385,168,38,206,24.14,15.95
"AVERY HIGH STEM ACADEMY","AVERY COUNTY","060700",3.7003e+11,37011,37,28657,"401 HIGH SCHOOL RD","NEWLAND","NC ",-81.9197,36.0676,85,24,10,34,9,9.44
"AVERY HIGH VIKING ACADEMY","AVERY COUNTY","060701",3.7003e+11,37011,37,28657,"401 HIGH SCHOOL RD","NEWLAND","NC ",-81.9197,36.0676,170,72,22,94,9.5,17.89
"AVERY MIDDLE","AVERY COUNTY","060318",3.7003e+11,37011,37,28657,"102 OLD MONTEZUMA RD","NEWLAND","NC ",-81.9164,36.0674,287,137,33,170,22.16,12.95
"AYCOCK ELEMENTARY","VANCE COUNTY","910304",3.70465e+11,37181,37,27537,"305 CAREY CHAPEL RD","HENDERSON","NC ",-78.3613,36.3206,361,300,23,323,30,12.03
"AYCOCK MIDDLE","GUILFORD COUNTY","410325",3.70192e+11,37081,37,27405,"811 CYPRESS ST","GREENSBORO","NC ",-79.7809,36.0842,598,412,31,443,46.22,12.94
"AYDEN-GRIFTON HIGH","PITT COUNTY","740309",3.70001e+11,37147,37,28513,"7653 NC 11 SOUTH","AYDEN","NC ",-77.432,35.4303,662,344,39,383,42.64,15.53
"AYDEN ELEMENTARY","PITT COUNTY","740304",3.70001e+11,37147,37,28513,"187 THIRD ST","AYDEN","NC ",-77.4312,35.4758,683,424,35,459,47.12,14.49
"AYDEN MIDDLE","PITT COUNTY","740308",3.70001e+11,37147,37,28513,"192 THIRD ST","AYDEN","NC ",-77.4335,35.4722,356,209,20,229,23.5,15.15
"B C ED TECH CENTER","BEAUFORT COUNTY","070310",3.70033e+11,37013,37,27899,"820 NORTH BRIDGE ST","WASHINGTON","NC ",-77.0563,35.5515,55,47,5,52,8,6.88
"B EVERETT JORDAN ELEM","ALAMANCE COUNTY","010346",3.70003e+11,37001,37,27253,"5827 CHURCH RD","GRAHAM","NC ",-79.3262,35.9392,424,198,40,238,31.2,13.59
"B F GRADY ELEMENTARY","DUPLIN COUNTY","310304",3.7012e+11,37061,37,28508,"2627 NORTH NC 11 AND 903","ALBERTSON","NC ",-77.8288,35.0572,917,688,79,767,58.5,15.68
"B O BARNES ELEMENTARY","WILSON COUNTY","980308",3.70502e+11,37195,37,27893,"1913 MARTIN L KING PARKWAY","WILSON","NC ",-77.8864,35.7133,409,357,29,386,24,17.04
"B T WASHINGTON PRIMARY","BLADEN COUNTY","090304",3.70039e+11,37017,37,28433,"66 BOOKER T WASHINGTON RD","CLARKTON","NC ",-78.6673,34.5008,198,180,15,195,13.44,14.73
"BADIN ELEMENTARY","STANLY COUNTY","840308",3.70432e+11,37167,37,28009,"47 HENDERSON ST","BADIN","NC ",-80.1148,35.4021,406,217,44,261,26.12,15.54
"BAILEY ELEMENTARY","NASH COUNTY","640304",3.70327e+11,37127,37,27807,"6288 PINE ST","BAILEY","NC ",-78.1154,35.782,631,459,59,518,37.44,16.85
"BAILEY MIDDLE","MECKLENBURG COUNTY","600313",3.70297e+11,37119,37,28031,"11900 BAILEY RD","CORNELIUS","NC ",-80.8375,35.4673,1572,265,51,316,73.88,21.28
"BAILEYWICK ROAD ELEMENTARY","WAKE COUNTY","920326",3.70472e+11,37183,37,27615,"9425 BAILEYWICK RD","RALEIGH","NC ",-78.665,35.9094,433,196,15,211,34.6,12.51
"BAIN ELEMENTARY","MECKLENBURG COUNTY","600314",3.70297e+11,37119,37,28227,"11524 BAIN SCHOOL RD","CHARLOTTE","NC ",-80.6484,35.175,903,155,50,205,48.84,18.49
"BALD CREEK ELEMENTARY","YANCEY COUNTY","995304",3.70507e+11,37199,37,28714,"100 BALD CREEK SCHOOL RD","BURNSVILLE","NC ",-82.4236,35.9129,171,88,15,103,11.21,15.25
"BALFOUR EDUCATION CENTER","HENDERSON COUNTY","450343",3.7021e+11,37089,37,28792,"2529 ASHEVILLE HWY","HENDERSONVILLE","NC ",-82.4767,35.3487,131,115,10,125,24.33,5.38
"BALFOUR ELEMENTARY","RANDOLPH COUNTY","761312",3.70024e+11,37151,37,27203,"2097 NORTH ASHEBORO SCHOOL RD","ASHEBORO","NC ",-79.8217,35.746,577,532,42,574,45,12.82
"BALLANTYNE ELEMENTARY","MECKLENBURG COUNTY","600437",3.70297e+11,37119,37,28277,"15425 SCHOLASTIC LN","CHARLOTTE","NC ",-80.8561,35.0373,847,106,21,127,45.51,18.61
"BALLENTINE ELEMENTARY","WAKE COUNTY","920327",3.70472e+11,37183,37,27526,"1651 MCLAURIN LN","FUQUAY VARINA","NC ",-78.7706,35.6138,512,152,25,177,38,13.47
"BALLS CREEK ELEMENTARY","CATAWBA COUNTY","180304",3.70069e+11,37035,37,28658,"2620 BALLS CREEK RD","NEWTON","NC ",-81.1277,35.6303,614,287,53,340,38.31,16.03
"BANDYS HIGH","CATAWBA COUNTY","180308",3.70069e+11,37035,37,28609,"5040 EAST BANDYS RD","CATAWBA","NC ",-81.0844,35.6453,865,226,54,280,51.58,16.77
"BANKS ELEMENTARY","LENOIR COUNTY","540304",3.70261e+11,37107,37,28504,"2148 FALLING CREEK RD","KINSTON","NC ",-77.681,35.2841,535,287,49,336,37,14.46
"BANKS RD ELEMENTARY","WAKE COUNTY","920325",3.70472e+11,37183,37,27603,"10225 CHAMBERS RD","RALEIGH","NC ",-78.7096,35.6317,704,199,17,216,52,13.54
"BANNER ELK ELEMENTARY","AVERY COUNTY","060304",3.7003e+11,37011,37,28604,"155 ORCHARD LN","BANNER ELK","NC ",-81.8572,36.1483,162,62,16,78,13.5,12
"BANOAK ELEMENTARY","CATAWBA COUNTY","180312",3.70069e+11,37035,37,28168,"7651 WEST NC 10 HWY","VALE","NC ",-81.4413,35.5839,307,167,23,190,20.76,14.79
"BARNARDSVILLE ELEMENTARY","BUNCOMBE COUNTY","110308",3.70045e+11,37021,37,28709,"20 HILLCREST DR","BARNARDSVILLE","NC ",-82.46,35.7753,153,93,12,105,12.22,12.52
"BARNETTE ELEMENTARY","MECKLENBURG COUNTY","600328",3.70297e+11,37119,37,28078,"13659 BEATTIES FORD RD","HUNTERSVILLE","NC ",-80.9249,35.3998,628,102,20,122,36.21,17.34
"BARRINGER ACADEMIC CENTER","MECKLENBURG COUNTY","600316",3.70297e+11,37119,37,28208,"1546 WALTON RD","CHARLOTTE","NC ",-80.8889,35.2109,614,318,20,338,41.74,14.71
"BARTLETT YANCEY HIGH","CASWELL COUNTY","170316",3.70066e+11,37033,37,27379,"466 MAIN ST EAST","YANCEYVILLE","NC ",-79.3276,36.4033,790,387,84,471,54.5,14.5
"BARWELL ROAD ELEMENTARY","WAKE COUNTY","920329",3.70472e+11,37183,37,27610,"3925 BARWELL RD","RALEIGH","NC ",-78.5514,35.732,821,542,68,610,56.44,14.55
"BASKERVILLE ELEMENTARY","EDGECOMBE COUNTY","640306",3.70327e+11,37065,37,27801,"1100 STOKES AVE","ROCKY MOUNT","NC ",-77.771,35.9498,398,375,14,389,21.4,18.6
"BATH ELEMENTARY","BEAUFORT COUNTY","070308",3.70033e+11,37013,37,27808,"110 SOUTH KING ST","BATH","NC ",-76.8109,35.4754,581,186,29,215,38.4,15.13
"BATON ELEMENTARY","CALDWELL COUNTY","140304",3.70058e+11,37027,37,28630,"1400 BATON SCHOOL RD","GRANITE FALLS","NC ",-81.5361,35.8089,409,240,49,289,25.16,16.26
"BATTLEGROUND ELEMENTARY","LINCOLN COUNTY","550312",3.70268e+11,37109,37,28092,"201 JEB SEAGLE DR","LINCOLNTON","NC ",-81.2631,35.4764,310,250,23,273,24.66,12.57
"BAUCOM ELEMENTARY","WAKE COUNTY","920328",3.70472e+11,37183,37,27502,"400 HUNTER ST","APEX","NC ",-78.8543,35.737,900,119,27,146,54.5,16.51
"BEAR GRASS","MARTIN COUNTY","58B000",3.70032e+11,37117,37,27982,"6344 EAST BEAR GRASS RD","WILLIAMSTON","NC ",-77.1274,35.7676,296,25,0,25,20.74,14.27
"BEARFIELD PRIMARY","HERTFORD COUNTY","460312",3.70216e+11,37091,37,27910,"145 HERTFORD CO HIGH SCHOOL RD","AHOSKIE","NC ",-76.9938,36.2968,746,673,40,713,49.63,15.03
"BEAUFORT CO EARLY COLLEGE HIGH","BEAUFORT COUNTY","070311",3.70033e+11,37013,37,27889,"5337 HWY 264 EAST","WASHINGTON","NC ",-76.9669,35.5323,182,78,20,98,6,30.33
"BEAUFORT ELEMENTARY","CARTERET COUNTY","160308",3.70063e+11,37031,37,28516,"110 CARRAWAY DR","BEAUFORT","NC ",-76.6443,34.73,425,257,36,293,37.4,11.36
"BEAUFORT MIDDLE","CARTERET COUNTY","160310",3.70063e+11,37031,37,28516,"100 CARRAWAY DR","BEAUFORT","NC ",-76.6469,34.7297,273,121,19,140,22.45,12.16
"BEAVER DAM ELEMENTARY","CUMBERLAND COUNTY","260312",3.70001e+11,37051,37,28382,"12059 HWY 210 SOUTH","ROSEBORO","NC ",-78.5808,34.8945,111,57,6,63,7.5,14.8
"BEDDINGFIELD HIGH","WILSON COUNTY","980318",3.70502e+11,37195,37,27893,"4510 OLD STANTONSBURG RD","WILSON","NC ",-77.8766,35.6591,819,522,58,580,57.46,14.25
"BEE LOG ELEMENTARY","YANCEY COUNTY","995308",3.70507e+11,37199,37,28714,"55 BEE LOG RD","BURNSVILLE","NC ",-82.4085,35.9828,53,18,7,25,4.94,10.73
"BELL ELEMENTARY","BUNCOMBE COUNTY","110332",3.70045e+11,37021,37,28805,"90 MAPLE SPRINGS RD","ASHEVILLE","NC ",-82.4932,35.5896,301,148,26,174,20.66,14.57
"BELL FORK ELEMENTARY","ONSLOW COUNTY","670304",3.70345e+11,37133,37,28540,"500 BELL FORK RD","JACKSONVILLE","NC ",-77.3922,34.7533,493,248,51,299,35.5,13.89
"BELMONT CENTRAL ELEMENTARY","GASTON COUNTY","360320",3.70162e+11,37071,37,28012,"310 EAGLE RD","BELMONT","NC ",-81.0507,35.241,683,168,25,193,33.7,20.27
"BELMONT ELEMENTARY","HALIFAX COUNTY","421304",3.7039e+11,37083,37,27870,"1517 BOLLING RD","ROANOKE RAPIDS","NC ",-77.6749,36.4648,702,525,62,587,49,14.33
"BELMONT MIDDLE","GASTON COUNTY","360324",3.70162e+11,37071,37,28012,"110 NORTH CENTRAL AVE","BELMONT","NC ",-81.0417,35.2419,762,254,43,297,37.83,20.14
"BELVILLE ELEMENTARY","BRUNSWICK COUNTY","100302",3.70042e+11,37019,37,28451,"575 RIVER RD","LELAND","NC ",-77.9848,34.2214,734,355,46,401,42,17.48
"BELVOIR ELEMENTARY","PITT COUNTY","740310",3.70001e+11,37147,37,27834,"2568 NC 33 WEST","GREENVILLE","NC ",-77.4175,35.6676,490,461,26,487,34.37,14.26
